cust_id,company_name,operating_country,operating_location,company_contact,contact_email,contact_ph,sales_contact,port_contact
369,"Rose, Rowland and Evans",Guernsey,Paulton,Bobby Edwards,b.edwards@roserowlandandevans.co.gg,464.835.9962x11453,Troy Cline,Michelle Martin
947,"Pennington, Wilson and May",Croatia,Donji Miholjac,Rebecca Terrell,r.terrell@penningtonwilsonandmay.co.hr,042 269 728,Mia Gržetić,Antonija Sabol
230,Leonard and Sons,British Virgin Islands,West Christian,Sandra Gill,s.gill@leonardand.co.vg,(282)852-3100x4566,Cindy Garza,Matthew Nelson
16,Torres-Landry,Saint Kitts and Nevis,New Christopherstad,Isaac Diaz,i.diaz@torreslandry.co.kn,001-250-687-4712x6241,James Smith,Kristin Moody
117,"Price, Johnson and Jones",Colombia,San Juan del Cesar,Mitchell Rodriguez,m.rodriguez@pricejohnsonandjones.co.co,57 305 943 96 48,Carmen Martínez,Mary Yesenia Jiménez
238,Beck Ltd,Grenada,Johnsonborough,Diana Deleon,d.deleon@beck.co.gd,802-320-4086,Christopher Wade,Valerie Buck
112,Clark Ltd,Italy,Breccia,Robert Thomas,r.thomas@clark.co.it,3757033967,Graziella Sibilia,Lucio Tuzzolino
255,Deleon-Johnston,Bosnia and Herzegovina,Jessicaport,Michael Lewis,m.lewis@deleonjohnston.co.ba,033 735 858,Jeffery Perez,David Fuller
971,Robles Group,Barbados,North Ryan,Kelly Thompson,k.thompson@roblesgroup.co.bb,(212)730-3553x498,Donna Campbell,Catherine Dyer
635,"Hines, Alvarez and Nguyen",Antigua and Barbuda,Wayneside,Mario Flores,m.flores@hinesalvarezandnguyen.co.ag,(866)872-4554x2058,Sandra Santos,Mark Johnson
450,Crawford Inc,Curacao,Port Matthew,Janice Bennett,j.bennett@crawford.co.cw,932.423.3766,Jason Richardson,Lisa Kaiser
12,"Barr, Simon and Martin",Portugal,Ponte de Sor,Courtney Peterson,c.peterson@barrsimonandmartin.co.pt,(351) 262448335,Ivan da Pereira,Lucas do Amaral
404,Myers LLC,Guadeloupe,New Kennethmouth,Misty Brady,m.brady@myers.co.gp,451.838.0322x33368,Evan Hutchinson,Matthew Estrada
561,Cook Inc,Aruba,Davidstad,Michael Webb,m.webb@cook.co.aw,837-858-2285,Martin Shepard,Matthew Hunt
809,"Hamilton, Howard and Woodard",Spain,Cuenca,Randy Garcia,r.garcia@hamiltonhowardandwoodard.co.es,+34933 896 554,Apolinar Romeu Cisneros,Francisca Llabrés Torrents
271,Brown-Obrien,Jamaica,South Angela,Spencer Zhang,s.zhang@brownobrien.co.jm,(386)762-4004,Ashley Diaz,Heidi Alexander
651,Werner-Carter,Belgium,West Elizabeth,Adam Williamson,a.williamson@wernercarter.co.be,329.341.7689x428,Shelly Clarke,Holly Cruz
758,Anderson-Hanson,Saint Lucia,East Bernardtown,Kenneth Davies,k.davies@andersonhanson.co.lc,4572776182,Mario Walton,Natalie Nelson
874,Harris-Vang,Bermuda,Taramouth,Steven Wolfe,s.wolfe@harrisvang.co.bm,001-765-342-4660x2581,Ashley Black,Marcus Jones
337,Mullen and Sons,Malta,Port Erin,April Smith,a.smith@mullenand.co.mt,+1-773-723-3594x832,Laura Smith,Lori Mclaughlin
713,Barber Group,Tunisia,Bonniechester,Emily Mathis,e.mathis@barbergroup.co.tn,268.756.0454,Benjamin Baird,Valerie Santos
670,"Hale, Kim and Smith",Isle of Man,Jimmybury,Erica Olsen,e.olsen@halekimandsmith.co.im,001-321-919-9613x8683,Samantha Hoffman,Michael Ramsey
735,"Cooper, Garcia and Gentry",Poland,Zgierz,Angelica Powell,a.powell@coopergarciaandgentry.co.pl,+48 22 812 80 76,Przemysław Sibiga,Paweł Burnat
179,Hancock-Taylor,Caribbean Netherlands,North Brian,Barbara Avila,b.avila@hancocktaylor.co.bq,001-338-878-3727x90523,Jessica Gilbert,James Harris
639,Johnston-Preston,Cuba,Leonardbury,Amber Hendrix,a.hendrix@johnstonpreston.co.cu,+1-399-979-8854x41528,Tina Clay,Emily Goodwin
944,"Campbell, Farmer and Ballard",Poland,Ciechanów,Emily Reynolds,e.reynolds@campbellfarmerandballard.co.pl,+48 662 753 050,Malwina Wikło,pani Ewelina Kapuścik
341,Castro-Wilkins,Grenada,Cantuberg,Lauren Lee,l.lee@castrowilkins.co.gd,(490)614-5492,Mark Hamilton,Jennifer Alvarez
168,"Esparza, Jones and Miller",Jamaica,South Philip,Erica Nunez,e.nunez@esparzajonesandmiller.co.jm,452.722.8290x6976,Nicholas Rivera,Todd Collins
896,Valdez-Barnes,Turks and Caicos Islands,Andrewbury,Lauren Moore,l.moore@valdezbarnes.co.tc,(433)218-6496x46111,Bethany James,Patrick Ryan
841,Choi Group,Isle of Man,Beardtown,Melanie Mullen,m.mullen@choigroup.co.im,984-301-1897x384,Mr. Daniel Lara,Audrey Dawson
45,Davis-Lewis,Turks and Caicos Islands,Port Lisa,Chad Powers,c.powers@davislewis.co.tc,001-747-866-3860x9514,Dr. Kristie Pierce MD,Steven Moore
99,Newman PLC,Estonia,West Ljubov,Christopher Mcguire,c.mcguire@newmanplc.co.ee,454-798-8867x5838,Julia Fedorov,Maksim Tsvetkov
31,Hall Group,Jamaica,Loriport,Heather Kim,h.kim@hallgroup.co.jm,213-775-5317x624,Michael Erickson,Nicole Foster
923,"Lucas, Stone and Adams",Aruba,New Leonardhaven,Katherine Harris,k.harris@lucasstoneandadams.co.aw,(322)528-6601,Cindy Joseph,Richard Velez
585,Scott-Allen,Finland,Taipalsaari,Taylor Johnson,t.johnson@scottallen.co.fi,(+358) 597171812,Timo Lilja,Aimo Peltola
967,Bond Group,Jamaica,South Stephanieport,Carolyn Martin,c.martin@bondgroup.co.jm,935-722-9039x37990,James Herrera,Anthony Garza
693,"Hardin, Webb and Shea",Turkey,North Mengüç,Charles Ross,c.ross@hardinwebbandshea.co.tr,+90 (213) 8878340,Canan Sakarya,Esentürk Tevetoğlu
384,Martin-Schaefer,Morocco,West Steven,Alexis Gonzalez,a.gonzalez@martinschaefer.co.ma,+1-512-255-3330,Matthew Johnson,Martha Perez
886,Wilson-Parks,Lithuania,South Danieliushaven,Mercedes Kramer,m.kramer@wilsonparks.co.lt,+370 46350078,Edgaras Naujokas,"Kalvelis, Augustas"
768,"Gillespie, Bolton and Gutierrez",Morocco,New Vincentland,Krista Gonzalez,k.gonzalez@gillespieboltonandgutierrez.co.ma,(893)684-3817x438,Stephanie Mclaughlin,Lacey Clark
645,"Watts, Weeks and Webb",Colombia,San Carlos de Guaroa,Jennifer Mills,j.mills@wattsweeksandwebb.co.co,(+57) 315 405 52 75,Manuel William Cortés Ospina,Claudia Caicedo Velásquez
306,Salazar-Pearson,Curacao,Scottburgh,Chad Guzman,c.guzman@salazarpearson.co.cw,+1-937-757-1024x306,Curtis Mccarthy,Maria Luna
960,"Gray, Mccullough and Hanna",Martinique,South Brian,Valerie Acevedo,v.acevedo@graymcculloughandhanna.co.mq,5075082259,Sheri Hall,Katelyn Perez
563,"Orr, Dixon and Howard",Belgium,Port Nathan,Patrick Roberts,p.roberts@orrdixonandhoward.co.be,001-852-892-2484x3495,Dr. Adam Smith,Kevin Jacobs
52,"Nunez, Hardin and Reid",Saint Lucia,Hallside,Daisy Smith,d.smith@nunezhardinandreid.co.lc,+1-918-594-0748x56492,Erin Cooley,Lindsey Sanchez
41,"Owens, Cochran and Johnson",Guadeloupe,Angelafort,Ralph Zimmerman,r.zimmerman@owenscochranandjohnson.co.gp,5065440141,Lori Hoffman,Ann Rose
380,"Jimenez, Nicholson and Butler",Spain,Vizcaya,Max Avery,m.avery@jimeneznicholsonandbutler.co.es,+34887 02 82 06,Severiano Aitor Casas Gutierrez,Lucía Simó-Alba
284,Hayes Inc,Ukraine,селище Новий Буг,Regina Duarte,r.duarte@hayes.co.ua,+380 (06) 238-52-80,пан Аркадій Шевченко,Демид Жадан
666,"Diaz, Short and Jackson",Slovenia,Kamnik,Jenna Schmidt,j.schmidt@diazshortandjackson.co.si,031 939 320,Stanislav Bezjak,Milena Miklavčič
389,Reynolds-Hunter,Netherlands,Sijbekarspel,Michael Thompson,m.thompson@reynoldshunter.co.nl,+31(0)42 7114627,Romy den Teuling-Mol,Gerrit Hoeks
916,English-Edwards,Isle of Man,Caldwellport,Amanda Campbell,a.campbell@englishedwards.co.im,+1-500-493-2422,Christopher Mercer,Brenda Roberts
570,Shea Group,Denmark,Oksbøl,John Henry,j.henry@sheagroup.co.dk,73027183,Prof. Benedikte Kristiansen,Per Mathiasen
145,Foster and Sons,Caribbean Netherlands,New Diane,Daniel Johnson,d.johnson@fosterand.co.bq,986.429.8399x7961,Jason Rowe,Emily Skinner
267,"Chavez, Smith and Moss",Finland,Mäntsälä,Jessica Harris,j.harris@chavezsmithandmoss.co.fi,092 316 3407,Sinikka Pöllänen,Sebastian Manninen
958,White Ltd,Bosnia and Herzegovina,Lake Michelle,Alicia Porter,a.porter@white.co.ba,037 439 252,William King,Theresa Ellis
663,"Conner, Decker and Clark",Jamaica,Payneburgh,Ashley Gentry,a.gentry@connerdeckerandclark.co.jm,001-719-481-9199x9000,Nicholas Weber,Tamara Williams
549,"Lee, Jackson and Richardson",Saint Lucia,Port Jill,Natasha Hanson,n.hanson@leejacksonandrichardson.co.lc,927-588-3452x16354,Joshua Pineda,Larry Davis
476,Forbes-Clark,Albania,Brentton,Thomas Evans,t.evans@forbesclark.co.al,(844)880-2605x092,Breanna Hamilton,Vanessa Smith
190,"Lawson, Lee and Hill",Malta,New Pamela,Johnny Olson,j.olson@lawsonleeandhill.co.mt,720.416.9381x0234,Lauren Garcia,Robert Small
203,Guerrero and Sons,Principality of Monaco,West Timothy,Scott Harrison,s.harrison@guerreroand.co.mc,001-854-358-8287,John Miller,Laura Henry
963,Lopez-Mercer,British Virgin Islands,West Marvin,David Hall,d.hall@lopezmercer.co.vg,453-307-6570,Mary Morrison,Justin Martin
301,Hernandez Inc,Colombia,Coyaima,Judy Gonzalez,j.gonzalez@hernandez.co.co,(+57) 304 293 10 22,Deiby Pacheco Herrera,Miryam Ortega Ordóñez
233,Gilbert and Sons,Principality of Monaco,Mcleanfort,Jermaine Kim,j.kim@gilbertand.co.mc,(972)227-3370x62051,Kayla Kelley,Mr. Frank Moore
396,Kelly-Ho,Georgia,ბაღდათი,Richard Bell,r.bell@kellyho.co.ge,+995630252397,დავით კაკაბაძე,ჯუმბერ ისაევი
746,Davis-Stevens,Lithuania,Gintarėfort,Robert Jenkins,r.jenkins@davisstevens.co.lt,+370 06284265,Rojus Butkus,"Paulauskas, Darius"
290,"Keith, Sweeney and Kemp",Romania,Campia Turzii,Destiny Bates,d.bates@keithsweeneyandkemp.co.ro,0769 596 956,Ariadna Popa,Flaviu Voinea
182,Thomas Group,Germany,Gunzenhausen,Nicholas Moreno,n.moreno@thomasgroup.co.de,+49(0)2360 68610,Dr. Rosita Etzold MBA.,Ing. Roswita Mans
708,Young-Carrillo,Romania,Greci,Anthony Duke,a.duke@youngcarrillo.co.ro,0253 336 444,Aura Nemeș,Tiberia Voinea
171,Smith LLC,U.S. Virgin Islands,Lake Jesus,Matthew Clark,m.clark@smith.co.vi,+1-228-402-3050x551,Cristina Ortiz,Regina Green
845,Hopkins LLC,Jamaica,Carrollland,Eric Garcia,e.garcia@hopkins.co.jm,(601)895-8606x39015,Barbara Jennings,James Armstrong
1,Johnson Ltd,Barbados,Davidland,Dakota Mcmahon,d.mcmahon@johnson.co.bb,+1-200-337-1801,Rebecca Palmer,Jeremy Thornton
36,Good-Gonzalez,Svalbard,Brandonmouth,Michele Kerr,m.kerr@goodgonzalez.co.sj,+1-455-500-2977x4996,Jesus Harris,Teresa Ramos
180,"Roberts, Christensen and Stephenson",Puerto Rico,Watsonmouth,Jennifer Hammond,j.hammond@robertschristensenandstephenson.co.pr,+1-229-679-8674x4233,Michaela Young,Ryan Brown
631,Shaw Ltd,Belgium,West Lisastad,Alexis Reed,a.reed@shaw.co.be,(279)304-6690x1712,Nathan Moss,Kathleen Gordon
48,Campos PLC,Isle of Man,Reedmouth,Michael Young,m.young@camposplc.co.im,(345)856-6652,Nicole Wood,George Smith
544,Bishop-George,Puerto Rico,West Ryan,Micheal Sanders,m.sanders@bishopgeorge.co.pr,320.572.1110x332,Charles Hughes,Lee Smith
642,Morgan Inc,Sweden,Alingsås,Kathleen Hall,k.hall@morgan.co.se,080-955 60 39,Eva Johansson,Alexandra Sjödin
282,Barnes PLC,Cayman Islands,East Paige,Ryan Hamilton,r.hamilton@barnesplc.co.ky,001-295-372-9331x8236,Edward Drake,Tracy Wilcox
51,"Rivera, Harris and Bradley",Aruba,Andrewview,Justin Hamilton,j.hamilton@riveraharrisandbradley.co.aw,001-538-341-3071x180,Suzanne Kidd,Allison Haynes
862,Hunt LLC,Malta,North Nathanton,Virginia Robinson,v.robinson@hunt.co.mt,660-898-4885x537,Carmen Rodriguez PhD,Julie Murray
797,Bradford-Morrison,Norway,New Johnnystad,Kimberly Garcia,k.garcia@bradfordmorrison.co.no,859.358.2407x65898,Nicholas Lee,Melissa Santiago
851,White LLC,Jamaica,North Lisa,Lisa Kelley,l.kelley@white.co.jm,+1-208-350-0452x0806,Robert Ashley,Christopher Wallace
29,"Moore, Castillo and Fernandez",Bulgaria,South Замфир,Doris Bailey,d.bailey@moorecastilloandfernandez.co.bg,0519156023,Г-н Пеньо Поаков,Илчо Ждраков
568,"Mejia, Ali and Graham",Isle of Man,Allisonhaven,Scott Mcgee,s.mcgee@mejiaaliandgraham.co.im,(756)551-4079,Chris Schmidt,Alyssa Smith
917,Knight Group,Finland,Teuva,Jim Mcdowell,j.mcdowell@knightgroup.co.fi,+358 638940638,Lotta Kuusela,Seppo Malinen
166,"Trevino, Watts and Meyer",U.S. Virgin Islands,Kevinport,Teresa Jackson,t.jackson@trevinowattsandmeyer.co.vi,(870)239-5764,Kevin Roberson,Arthur Nguyen
737,Bennett Inc,Jersey,Lake John,Mario Hall,m.hall@bennett.co.je,5127934318,Daniel Stuart,Erin Harding
721,Lawrence LLC,Latvia,East Laimonismouth,Kristine Palmer,k.palmer@lawrence.co.lv,+37102906558,"Krūmiņš, Karina","Lapsa, Guntars"
76,Rose-Bartlett,Guadeloupe,Collinshaven,Christina Snyder,c.snyder@rosebartlett.co.gp,(373)217-5013x406,Pamela Shaffer,Jason Brown
654,"Ortiz, Ferguson and Hill",Isle of Man,East Kevin,Zoe Williams,z.williams@ortizfergusonandhill.co.im,258.572.5745x5110,Raymond Reed,Sara Carr
548,"Reyes, Singh and Vazquez",France,Denisdan,Brady Moreno,b.moreno@reyessinghandvazquez.co.fr,+33 (0)5 82 48 00 39,Adrienne Pascal,Cécile Monnier
711,Peterson and Sons,Albania,New Robert,Derrick Garcia,d.garcia@petersonand.co.al,439-319-7383,Erica Cruz,Nicole Martin
